size	stride	elapsed(s)	cycles	nr of accesses
[LOG]: running with array of size 4 KiB
4096	1	0.000998	999	819200
4096	2	0.000987	987	819200
4096	4	0.000985	985	819200
4096	8	0.000975	975	819200
4096	16	0.000986	986	819200
4096	32	0.000960	960	819200
4096	64	0.000915	914	819200
4096	128	0.000882	882	819200
4096	256	0.000893	892	819200
4096	512	0.000873	873	819200
4096	1024	0.000848	848	819200
4096	2048	0.000849	848	819200
[LOG]: running with array of size 8 KiB
8192	1	0.001995	1994	1638400
8192	2	0.002013	2013	1638400
8192	4	0.001983	1983	1638400
8192	8	0.001926	1926	1638400
8192	16	0.001943	1943	1638400
8192	32	0.001932	1933	1638400
8192	64	0.001939	1939	1638400
8192	128	0.001826	1825	1638400
8192	256	0.001783	1783	1638400
8192	512	0.001775	1775	1638400
8192	1024	0.001745	1745	1638400
8192	2048	0.001800	1800	1638400
8192	4096	0.001813	1812	1638400
[LOG]: running with array of size 16 KiB
16384	1	0.003980	3979	3276800
16384	2	0.003976	3976	3276800
16384	4	0.003965	3965	3276800
16384	8	0.003872	3873	3276800
16384	16	0.003974	3974	3276800
16384	32	0.003970	3970	3276800
16384	64	0.003928	3928	3276800
16384	128	0.003849	3848	3276800
16384	256	0.003628	3628	3276800
16384	512	0.003548	3548	3276800
16384	1024	0.003555	3555	3276800
16384	2048	0.003695	3694	3276800
16384	4096	0.003854	3854	3276800
16384	8192	0.003689	3688	3276800
[LOG]: running with array of size 32 KiB
32768	1	0.007868	7868	6553600
32768	2	0.007874	7874	6553600
32768	4	0.007807	7807	6553600
32768	8	0.007653	7652	6553600
32768	16	0.007483	7482	6553600
32768	32	0.007397	7397	6553600
32768	64	0.007187	7187	6553600
32768	128	0.007905	7906	6553600
32768	256	0.007783	7782	6553600
32768	512	0.007227	7227	6553600
32768	1024	0.007109	7109	6553600
32768	2048	0.007289	7289	6553600
32768	4096	0.007818	7818	6553600
32768	8192	0.007684	7684	6553600
32768	16384	0.007380	7379	6553600
[LOG]: running with array of size 64 KiB
65536	1	0.014075	14076	13107200
65536	2	0.013435	13435	13107200
65536	4	0.015363	15363	13107200
65536	8	0.015878	15878	13107200
65536	16	0.015519	15519	13107200
65536	32	0.015379	15379	13107200
65536	64	0.013368	13368	13107200
65536	128	0.013804	13804	13107200
65536	256	0.013328	13329	13107200
65536	512	0.013572	13571	13107200
65536	1024	0.013174	13174	13107200
65536	2048	0.028942	28941	13107200
65536	4096	0.035842	35842	13107200
65536	8192	0.015605	15605	13107200
65536	16384	0.015422	15422	13107200
65536	32768	0.014697	14698	13107200
[LOG]: running with array of size 128 KiB
131072	1	0.028123	28122	26214400
131072	2	0.026894	26894	26214400
131072	4	0.030795	30795	26214400
131072	8	0.031143	31143	26214400
131072	16	0.030270	30270	26214400
131072	32	0.029862	29862	26214400
131072	64	0.026205	26206	26214400
131072	128	0.027680	27679	26214400
131072	256	0.027486	27486	26214400
131072	512	0.027798	27799	26214400
131072	1024	0.029705	29704	26214400
131072	2048	0.078533	78534	26214400
131072	4096	0.119943	119942	26214400
131072	8192	0.069871	69871	26214400
131072	16384	0.030441	30440	26214400
131072	32768	0.030298	30298	26214400
131072	65536	0.028811	28811	26214400
[LOG]: running with array of size 256 KiB
262144	1	0.054922	54923	52428800
262144	2	0.052699	52700	52428800
262144	4	0.060353	60353	52428800
262144	8	0.061529	61530	52428800
262144	16	0.059985	59985	52428800
262144	32	0.059357	59357	52428800
262144	64	0.055925	55925	52428800
262144	128	0.061342	61342	52428800
262144	256	0.063917	63916	52428800
262144	512	0.065825	65824	52428800
262144	1024	0.069106	69106	52428800
262144	2048	0.154124	154124	52428800
262144	4096	0.239125	239126	52428800
262144	8192	0.243411	243411	52428800
262144	16384	0.199754	199753	52428800
262144	32768	0.060875	60875	52428800
262144	65536	0.060022	60022	52428800
262144	131072	0.059112	59111	52428800
[LOG]: running with array of size 512 KiB
524288	1	0.112959	112959	104857600
524288	2	0.107801	107801	104857600
524288	4	0.124191	124191	104857600
524288	8	0.124760	124760	104857600
524288	16	0.122619	122619	104857600
524288	32	0.116633	116632	104857600
524288	64	0.116726	116726	104857600
524288	128	0.139489	139489	104857600
524288	256	0.165037	165037	104857600
524288	512	0.170242	170243	104857600
524288	1024	0.175990	175989	104857600
524288	2048	0.171241	171241	104857600
524288	4096	0.492628	492628	104857600
524288	8192	0.506268	506267	104857600
524288	16384	0.506715	506715	104857600
524288	32768	0.346461	346461	104857600
524288	65536	0.129742	129742	104857600
524288	131072	0.120429	120429	104857600
524288	262144	0.115204	115204	104857600
[LOG]: running with array of size 1024 KiB
1048576	1	0.221985	221985	209715200
1048576	2	0.215603	215603	209715200
1048576	4	0.248475	248475	209715200
1048576	8	0.244192	244192	209715200
1048576	16	0.239521	239521	209715200
1048576	32	0.229139	229139	209715200
1048576	64	0.235940	235941	209715200
1048576	128	0.293090	293090	209715200
1048576	256	0.355554	355554	209715200
1048576	512	0.370403	370404	209715200
1048576	1024	0.373874	373875	209715200
1048576	2048	0.339079	339079	209715200
1048576	4096	0.982483	982483	209715200
1048576	8192	0.989272	989273	209715200
1048576	16384	0.996539	996538	209715200
1048576	32768	0.996689	996689	209715200
1048576	65536	0.782415	782415	209715200
1048576	131072	0.265524	265524	209715200
1048576	262144	0.241694	241694	209715200
1048576	524288	0.230573	230573	209715200
[LOG]: running with array of size 2048 KiB
2097152	1	0.446132	446132	419430400
2097152	2	0.421809	421808	419430400
2097152	4	0.484744	484744	419430400
2097152	8	0.486351	486350	419430400
2097152	16	0.477206	477205	419430400
2097152	32	0.453879	453879	419430400
2097152	64	0.459278	459278	419430400
2097152	128	0.578001	578001	419430400
2097152	256	0.714241	714240	419430400
2097152	512	0.750727	750727	419430400
2097152	1024	0.751809	751809	419430400
2097152	2048	0.680636	680636	419430400
2097152	4096	1.973608	1973608	419430400
2097152	8192	2.012986	2012986	419430400
2097152	16384	2.013231	2013231	419430400
2097152	32768	2.039840	2039840	419430400
2097152	65536	1.890445	1890445	419430400
2097152	131072	1.246183	1246182	419430400
2097152	262144	0.521653	521653	419430400
2097152	524288	0.480683	480684	419430400
2097152	1048576	0.462941	462941	419430400
[LOG]: running with array of size 4096 KiB
4194304	1	0.890731	890732	838860800
4194304	2	0.853274	853273	838860800
4194304	4	0.982011	982010	838860800
4194304	8	0.987334	987334	838860800
4194304	16	0.975739	975739	838860800
4194304	32	0.938248	938248	838860800
4194304	64	1.008643	1008643	838860800
4194304	128	1.384751	1384752	838860800
4194304	256	1.724219	1724219	838860800
4194304	512	1.811317	1811317	838860800
4194304	1024	1.963432	1963432	838860800
4194304	2048	1.993854	1993854	838860800
4194304	4096	4.049007	4049007	838860800
4194304	8192	3.980776	3980776	838860800
4194304	16384	4.051150	4051150	838860800
4194304	32768	4.103832	4103831	838860800
4194304	65536	3.904464	3904464	838860800
4194304	131072	3.976587	3976587	838860800
4194304	262144	2.838059	2838059	838860800
4194304	524288	1.062289	1062289	838860800
4194304	1048576	0.986029	986030	838860800
4194304	2097152	0.943884	943884	838860800
